-+XXXXXXXXXXXXXXX_.XXXXXXX--XXXXXXXXXXXXXXXXXXXXXX
X|-+XXXXXXXXXXXXXXX_.--XXXXX--._XXXXXXXXXXXXXXXXXX
XXX|XXXXXXXXXXXX,-'             `-.XXXXXXXXXXXXXXX
XXXXXXXXXXXXXX,'                   `.XXXXXXXXXXXXX
XXXXXXXXXXXX,'                       `.XXXXXXXXXXX
XXXXXXXXXXX/                           \XXXXXXXXXX
XXXXXXXXXX/                             \XXXXXXXXX
XXXXXXXXX/                               \XXXXXXXX
XXXXXXXX/                                 \XXXXXXX
XXXXXXX/                                   \XXXXXX
XXXXXX|                                     |XXXXX
XXXXXX|                                     |XXXXX
XXXXX|                                       |XXXX
XXXXX|                                       |XXXX
XXXX|                                         |XXX
XXXX|                                         |XXX
X.XX|                                         |XXX
X|X.'                                         '.XX
X|X|                                           |XX
X|X|                                           |XX
X|X|                                           |XX
XXX|                                           |XX
XXXX|                                         |XXX
XXXX|                                         |XXX
XXXX\                                         /XXX
XXXX'.                                       .'XXX
XXXXX|                                       |XXXX
XXXXX`.                                     .'XXXX
XXXXXX|                                     |XXXXX
XXXXXXX\                                   /XXXXXX
XXXXXXX'.                                 ,'XXXXXX
XXXXXXXX`.                               ,'XXXXXXX
XXXXXXXXX`.                             ,'XXXXXXXX
XXXXXXXXXXX\                           /XXXXXXXXXX
XXXXXXXXXXXX`.                       ,'XXXXXXXXXXX
XXXXXXXXXXXXXX`.                   ,'XXXXXXXXXXXXX
XXXXXXXXXXXXXXXX`.               ,'XXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXX`-.._     _,.-'XXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXX`''''XXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
